Scheme Name, Net Asset Value
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW, 108.0832
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW, 113.5771
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW, 111.9833
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW, 162.1017
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW, 110.4958
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW, 109.0526
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW, 110.3555
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW, 111.8262
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth, 303.2202
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth, 455.1725
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth, 311.9367
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option, 1532.8272
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW, 1039.1310
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option, 2245.2158
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW, 1034.2941
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW, 1038.7978
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option, 1289.4075
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW, 1039.1303
Axis Banking & PSU Debt Fund - Regular Plan - Growth option, 2193.3689
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW, 1034.2362
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW, 1038.7712
Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option, 10.1057
Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option, 10.5924
Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option, 10.1221
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option, 10.5068
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option, 10.0923
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option, 10.1897
Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option, 10.1200
Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout, 10.1199
Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option, 10.1107
Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment), 10.1107
DSP Banking & PSU Debt Fund - Direct Plan - Growth, 20.4150
DSP Banking & PSU Debt Fund - Direct Plan - IDCW, 10.3960
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest, 10.1600
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly, 10.2015
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly , 10.2825
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly, 10.1600
DSP Banking & PSU Debt Fund - Regular Plan - Growth, 19.8510
DSP Banking & PSU Debt Fund - Regular Plan - IDCW, 10.3777
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest, 10.1600
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly, 10.1960
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly , 10.2776
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly, 10.1600
Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option, 20.9693
Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option, 18.2281
Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option, 14.6055
Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option, 10.9257
Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option, 10.5713
Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option, 20.4015
Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option, 17.67
Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option, 14.2303
Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option, 11.1691
Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option, 10.1665
Franklin India Banking & PSU Debt Fund - Direct - Growth, 19.2886
Franklin India Banking & PSU Debt Fund - Growth, 18.6226
Franklin India Banking and PSU Debt Fund - Direct - IDCW , 10.7885
Franklin India Banking and PSU Debt Fund - IDCW , 10.2973
HDFC Banking and PSU Debt Fund - Growth Option, 19.0281
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan, 19.6103
HDFC Banking and PSU Debt Fund - IDCW Option, 10.1479
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan, 10.0382
HSBC Banking and PSU Debt Fund - Direct Daily IDCW, 11.1907
HSBC Banking and PSU Debt Fund - Direct Growth, 21.1307
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW, 11.3122
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW, 10.3576
HSBC Banking and PSU Debt Fund - Regular Daily IDCW, 11.116
HSBC Banking and PSU Debt Fund - Regular Growth, 20.2582
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW, 10.8072
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW, 10.3304
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW, 10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW, 10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus, 15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW, 10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth, 27.8855
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW, 12.6908
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW, 10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus, 13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option, 13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth, 26.9908
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW, 10.7560
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option, 12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend, 10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth, 21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend, 10.3305
IDFC-IDFC Banking & PSU Debt Fund - Direct Annual IDCW, 12.1707
IDFC-IDFC Banking & PSU Debt Fund - Direct Daily IDCW, 10.4768
IDFC-IDFC Banking & PSU Debt Fund - Direct Fortnightly IDCW, 10.4714
IDFC-IDFC Banking & PSU Debt Fund - Direct Growth, 20.8747
IDFC-IDFC Banking & PSU Debt Fund - Direct IDCW, 10.9811
IDFC-IDFC Banking & PSU Debt Fund - Direct Monthly IDCW, 10.4272
IDFC-IDFC Banking & PSU Debt Fund - Direct Quarterly IDCW, 10.7526
IDFC-IDFC Banking & PSU Debt Fund - Regular Annual IDCW, 11.1877
IDFC-IDFC Banking & PSU Debt Fund - Regular Daily IDCW, 10.8788
IDFC-IDFC Banking & PSU Debt Fund - Regular Fortnightly IDCW, 10.6267
IDFC-IDFC Banking & PSU Debt Fund - Regular Growth, 20.4415
IDFC-IDFC Banking & PSU Debt Fund - Regular IDCW, 11.0383
IDFC-IDFC Banking & PSU Debt Fund - Regular Monthly IDCW, 10.6712
IDFC-IDFC Banking & PSU Debt Fund - Regular Quarterly IDCW, 10.6613
Invesco India Banking & PSU Debt Fund - Daily IDCW (Reinvestment), 1003.7733
Invesco India Banking & PSU Debt Fund - Direct Plan -  Growth Option, 1990.1978
Invesco India Banking & PSU Debt Fund - Direct Plan - Daily IDCW (Reinvestment), 1026.1956
Invesco India Banking & PSU Debt Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment), 1011.103
Invesco India Banking & PSU Debt Fund - Growth Option, 1875.5258
Invesco India Banking & PSU Debt Fund - Monthly IDCW (Payout / Reinvestment), 1022.15
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option, 11.0106
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option, 11.0106
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option, 10.8837
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option, 10.8837
Kotak Banking and PSU Debt - Annual Dividend, 16.1842
Kotak Banking and PSU Debt - Daily Dividend Reinvestment, 10.188
Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment, 10.2604
Kotak Banking and PSU Debt - Growth, 54.1116
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option, 10.4685
Kotak Banking and PSU Debt Direct - Annual Dividend, 17.1427
Kotak Banking and PSU Debt Direct - Growth, 55.7934
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option, 10.2844
LIC MF Banking & PSU Debt Fund-Direct Plan-Daily IDCW, 12.4428
LIC MF Banking & PSU Debt Fund-Direct Plan-Growth, 30.7518
LIC MF Banking & PSU Debt Fund-Direct Plan-Monthly IDCW, 11.5815
LIC MF Banking & PSU Debt Fund-Direct Plan-Weekly IDCW, 10.067
LIC MF Banking & PSU Debt Fund-Regular Plan-Daily IDCW, 10.8239
LIC MF Banking & PSU Debt Fund-Regular Plan-Growth, 28.8929
LIC MF Banking & PSU Debt Fund-Regular Plan-Monthly IDCW, 10.8135
LIC MF Banking & PSU Debt Fund-Regular Plan-Weekly IDCW, 10.0647
Mirae Asset Banking and PSU Debt Fund Direct Growth, 10.8973
Mirae Asset Banking and PSU Debt Fund Direct IDCW, 10.8975
Mirae Asset Banking and PSU Debt Fund Regular Growth Plan, 10.7844
Mirae Asset Banking and PSU Debt Fund Regular IDCW, 10.7853
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option, 17.6321
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option, 17.6314
Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option, 12.3452
Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option, 17.1697
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option, 17.6314
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option, 10.6558
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option, 10.6917
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option, 10.2867
NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option, 17.1697
NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option, 10.5933
NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option, 10.6387
NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option, 10.2874
PGIM India Banking and PSU Debt fund - Bonus, 13.3974
PGIM India Banking and PSU Debt Fund - Direct Plan - Regular Dividend, 10.2796
PGIM India Banking and PSU Debt fund - Monthly Dividend, 10.7742
PGIM India Banking and PSU Debt fund - Quarterly Bonus, 11.6111
PGIM India Banking and PSU Debt fund - Quarterly Dividend, 10.6187
PGIM India Banking and PSU Debt Fund - Regular Dividend, 10.2755
PGIM India Banking and PSU Debt fund - Weekly Dividend, 10.2735
PGIM India Banking and PSU Debt fund -Growth, 20.2208
PGIM India Banking and PSU Debt fund- Direct Plan-  Quarterly Bonus, 13.6246
PGIM India Banking and PSU Debt fund- Direct Plan-  Regular Bonus, 15.2364
PGIM India Banking and PSU Debt fund- Direct Plan- Annual Dividend, 11.0995
PGIM India Banking and PSU Debt fund- Direct Plan- Monthly Dividend, 10.9284
PGIM India Banking and PSU Debt fund- Direct Plan- Quarterly Dividend, 10.6729
PGIM India Banking and PSU Debt fund- Direct Plan- Weekly Dividend, 10.2259
PGIM India Banking and PSU Debt fund- Direct Plan-Growth, 21.1688
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW), 1197.0491
SBI BANKING & PSU FUND - Direct Plan - Growth, 2717.6477
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW), 1161.4388
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW), 1194.3906
SBI BANKING & PSU FUND - Regular Paln - Growth, 2587.5815
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW), 1180.5262
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW), 1107.5935
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW), 1180.2788
Sundaram Banking & PSU Debt Fund - Direct Growth, 11.7065
Sundaram Banking & PSU Debt Fund - Direct Monthly Dividend, 11.4008
Sundaram Banking & PSU Debt Fund - Direct Quarterly Dividend, 10.6356
Sundaram Banking & PSU Debt Fund - Regular Annual Bonus, 11.6319
Sundaram Banking & PSU Debt Fund - Regular Growth, 11.6493
Sundaram Banking & PSU Debt Fund - Regular Monthly Dividend, 11.1411
Sundaram Banking & PSU Debt Fund - Regular Quarterly Bonus, 11.1681
Sundaram Banking & PSU Debt Fund - Regular Weekly Dividend, 10.1418
Sundaram Banking & PSU Debt Fund Regular Quarterly Dividend, 11.0236
Sundaram Banking and PSU Debt Fund Direct Plan - Bonus, 17.9803
Sundaram Banking and PSU Debt Fund Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW), 10.2300
Sundaram Banking and PSU Debt Fund Direct Plan - Growth, 35.9397
Sundaram Banking and PSU Debt Fund Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW), 11.5419
Sundaram Banking and PSU Debt Fund Regular Plan - Bonus, 17.9309
Sundaram Banking and PSU Debt Fund Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW), 10.3550
Sundaram Banking and PSU Debt Fund Regular Plan - Growth, 35.5581
Sundaram Banking and PSU Debt Fund Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW), 11.5942
Sundaram Banking and PSU Debt Fund Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW), 12.1135
Sundaram Banking and PSU Debt Fund Retail Plan - Growth, 32.0454
Sundaram Banking and PSU Debt Fund Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW), 11.4988
SundaramBanking&PSUDebtFund-RegularDailyDividendReinvestment, 11.6582
Tata Banking & PSU Debt Fund  Direct Plan - Payout of Income Distribution cum capital withdrawal option , 12.0993
Tata Banking & PSU Debt Fund  Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option , 12.0993
Tata Banking & PSU Debt Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option , 11.9088
Tata Banking & PSU Debt Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option , 11.9088
Tata Banking & PSU Debt Fund-Direct Plan-Growth, 12.0993
Tata Banking & PSU Debt Fund-Regular Plan-Growth, 11.9088
